0.018791,0.025327,0.95169,380,0.018791,0.025327,0.95169
0.030563,0.067705,0.080483,390,0.030563,0.067705,0.080483
0.054295,0.10248,0.30574,400,0.054295,0.10248,0.30574
0.037735,0.031683,0.21802,410,0.037735,0.031683,0.21802
0.016021,0.090216,0.13145,420,0.016021,0.090216,0.13145
0.078021,0.68101,0.2197,430,0.078021,0.68101,0.2197
0.059995,0.8805,0.12206,440,0.059995,0.8805,0.12206
0.032943,0.71616,0.19344,450,0.032943,0.71616,0.19344
0.60441,0.016652,0.149,460,0.60441,0.016652,0.149
0.8191,0.14661,0.14904,470,0.8191,0.14661,0.14904
0.63016,0.0383,0.19036,480,0.63016,0.0383,0.19036
0.003985,0.094869,0.11115,490,0.003985,0.094869,0.11115
0.13049,0.025822,0.18818,500,0.13049,0.025822,0.18818
0.009909,0.087333,0.15616,510,0.009909,0.087333,0.15616
0.080783,0.027029,0.12183,520,0.080783,0.027029,0.12183
0.016453,0.06467,0.18808,530,0.016453,0.06467,0.18808
0.052407,0.057875,0.15567,540,0.052407,0.057875,0.15567
0.041048,0.029572,0.11885,550,0.041048,0.029572,0.11885
0.020577,0.069179,0.17462,560,0.020577,0.069179,0.17462
0.054327,0.047432,0.17636,570,0.054327,0.047432,0.17636
0.026945,0.03224,0.12375,580,0.026945,0.03224,0.12375
0.026039,0.064687,0.13849,590,0.026039,0.064687,0.13849
0.049921,0.052671,0.18286,600,0.049921,0.052671,0.18286
0.028414,0.029964,0.16657,610,0.028414,0.029964,0.16657
0.022386,0.052829,0.12351,620,0.022386,0.052829,0.12351
0.045142,0.063225,0.13485,630,0.045142,0.063225,0.13485
0.037856,0.039095,0.17566,640,0.037856,0.039095,0.17566
0.019713,0.033852,0.17764,650,0.019713,0.033852,0.17764
0.032016,0.056535,0.14099,660,0.032016,0.056535,0.14099
0.045307,0.060786,0.12086,670,0.045307,0.060786,0.12086
0.032532,0.040362,0.14604,680,0.032532,0.040362,0.14604
0.020191,0.032467,0.17746,690,0.020191,0.032467,0.17746
0.03125,0.049516,0.17669,700,0.03125,0.049516,0.17669
0.043779,0.061934,0.14699,710,0.043779,0.061934,0.14699
0.036677,0.051717,0.12265,720,0.036677,0.051717,0.12265
0.022613,0.0348,0.13139,730,0.022613,0.0348,0.13139
0.02383,0.035142,0.16082,740,0.02383,0.035142,0.16082
0.037237,0.050932,0.1799,750,0.037237,0.050932,0.1799
0.042933,0.060954,0.17326,760,0.042933,0.060954,0.17326
0.034034,0.054047,0.1479,770,0.034034,0.054047,0.1479
0.022717,0.038959,0.12553,780,0.022717,0.038959,0.12553
