% Model,A0_C1_A0_C1_B0_C1_B0_C1_st235_new.mph
% Version,COMSOL 6.4.0.343
% Date,"Aug 7 2026, 11:17"
% Table,Table 4 - Global Evaluation 4
% eta_P,lamda (nm),theta (deg),freq (THz),"Reflectance, order 0 (1)"
0,379.99999999999994,0,788.9275210526316,0.3131077752611359
0,379.99999999999994,10,788.9275210526316,0.25974590215021276
0,379.99999999999994,20,788.9275210526316,0.7116445831617553
0,379.99999999999994,29.999999999999996,788.9275210526316,0.7735815455851118
0,379.99999999999994,40,788.9275210526316,0.7851225841126728
0,379.99999999999994,50,788.9275210526316,0.42499216425598146
0,379.99999999999994,59.99999999999999,788.9275210526316,0.6607652441585526
0,379.99999999999994,70,788.9275210526316,0.845569482260822
0,379.99999999999994,80,788.9275210526316,0.9067018362519539
0,390,0,768.6986102564102,0.22172138374811165
0,390,10,768.6986102564102,0.0896520849331836
0,390,20,768.6986102564102,0.33164398400654105
0,390,29.999999999999996,768.6986102564102,0.6029796367028015
0,390,40,768.6986102564102,0.473686397114764
0,390,50,768.6986102564102,0.3623619249471241
0,390,59.99999999999999,768.6986102564102,0.6806120323096071
0,390,70,768.6986102564102,0.7835159968789557
0,390,80,768.6986102564102,0.8748082162700431
0,400,0,749.481145,0.2338372298296587
0,400,10,749.481145,0.2080755821493143
0,400,20,749.481145,0.6098734892527775
0,400,29.999999999999996,749.481145,0.5844159553648836
0,400,40,749.481145,0.27135463513624397
0,400,50,749.481145,0.27064881307061694
0,400,59.99999999999999,749.481145,0.5391514083178537
0,400,70,749.481145,0.7099847973674345
0,400,80,749.481145,0.8180379232094364
0,410,0,731.2011170731707,0.026640578440025448
0,410,10,731.2011170731707,0.28121398183904384
0,410,20,731.2011170731707,0.8078767108814197
0,410,29.999999999999996,731.2011170731707,0.6863341588299608
0,410,40,731.2011170731707,0.32633338850859095
0,410,50,731.2011170731707,0.20313769845626495
0,410,59.99999999999999,731.2011170731707,0.2900401035425615
0,410,70,731.2011170731707,0.46556625409165486
0,410,80,731.2011170731707,0.6488007443593589
0,419.99999999999994,0,713.7915666666668,0.5615522731226835
0,419.99999999999994,10,713.7915666666668,0.6421582711153098
0,419.99999999999994,20,713.7915666666668,0.7542565896292386
0,419.99999999999994,29.999999999999996,713.7915666666668,0.70937997805033
0,419.99999999999994,40,713.7915666666668,0.57022079119682
0,419.99999999999994,50,713.7915666666668,0.38512876337868085
0,419.99999999999994,59.99999999999999,713.7915666666668,0.4475008220494072
0,419.99999999999994,70,713.7915666666668,0.5329780155536321
0,419.99999999999994,80,713.7915666666668,0.6400085603757522
0,429.99999999999994,0,697.1917627906976,0.8001727846896667
0,429.99999999999994,10,697.1917627906976,0.707337437675593
0,429.99999999999994,20,697.1917627906976,0.7107491364545043
0,429.99999999999994,29.999999999999996,697.1917627906976,0.703282802621206
0,429.99999999999994,40,697.1917627906976,0.39997317705881164
0,429.99999999999994,50,697.1917627906976,0.410210314938773
0,429.99999999999994,59.99999999999999,697.1917627906976,0.5792006514918067
0,429.99999999999994,70,697.1917627906976,0.5545670550787379
0,429.99999999999994,80,697.1917627906976,0.6508096265034186
0,439.99999999999994,0,681.3464954545453,0.8349669994162066
0,439.99999999999994,10,681.3464954545453,0.8000206555884581
0,439.99999999999994,20,681.3464954545453,0.7437521031163383
0,439.99999999999994,29.999999999999996,681.3464954545453,0.6278369906872755
0,439.99999999999994,40,681.3464954545453,0.25899349545253736
0,439.99999999999994,50,681.3464954545453,0.39677802288294656
0,439.99999999999994,59.99999999999999,681.3464954545453,0.6883105253028117
0,439.99999999999994,70,681.3464954545453,0.633606148865572
0,439.99999999999994,80,681.3464954545453,0.6990181348869148
0,450,0,666.2054622222221,0.8422382417653324
0,450,10,666.2054622222221,0.8549930840960435
0,450,20,666.2054622222221,0.7843676933052453
0,450,29.999999999999996,666.2054622222221,0.5446728598510668
0,450,40,666.2054622222221,0.12859441585547438
0,450,50,666.2054622222221,0.43973792115998395
0,450,59.99999999999999,666.2054622222221,0.6123827419534809
0,450,70,666.2054622222221,0.5948246839408812
0,450,80,666.2054622222221,0.6741825513608523
0,460,0,651.7227347826087,0.8091259465147246
0,460,10,651.7227347826087,0.8218075444585575
0,460,20,651.7227347826087,0.7510297243417585
0,460,29.999999999999996,651.7227347826087,0.4353615194194882
0,460,40,651.7227347826087,0.1513299321804875
0,460,50,651.7227347826087,0.5854984960488907
0,460,59.99999999999999,651.7227347826087,0.7049595528839295
0,460,70,651.7227347826087,0.664452653991635
0,460,80,651.7227347826087,0.7627442623415617
0,470,0,637.8562936170213,0.8220831854136503
0,470,10,637.8562936170213,0.7921869578398597
0,470,20,637.8562936170213,0.7521155462493472
0,470,29.999999999999996,637.8562936170213,0.4837659484714349
0,470,40,637.8562936170213,0.1766763267023473
0,470,50,637.8562936170213,0.5765920159447027
0,470,59.99999999999999,637.8562936170213,0.6915963748324055
0,470,70,637.8562936170213,0.6583358466181516
0,470,80,637.8562936170213,0.7345953008605228
0,480,0,624.5676208333332,0.8506599334156473
0,480,10,624.5676208333332,0.6796251570795225
0,480,20,624.5676208333332,0.4862855161597306
0,480,29.999999999999996,624.5676208333332,0.3341282605555675
0,480,40,624.5676208333332,0.2861538883988624
0,480,50,624.5676208333332,0.48134095996342063
0,480,59.99999999999999,624.5676208333332,0.5429389908611498
0,480,70,624.5676208333332,0.60675276840246
0,480,80,624.5676208333332,0.7623184551661322
0,490,0,611.8213428571428,0.9236295681328399
0,490,10,611.8213428571428,0.7405899910513197
0,490,20,611.8213428571428,0.4920567824495543
0,490,29.999999999999996,611.8213428571428,0.14911056719017218
0,490,40,611.8213428571428,0.22515624007105356
0,490,50,611.8213428571428,0.43786437573462506
0,490,59.99999999999999,611.8213428571428,0.47667667403198544
0,490,70,611.8213428571428,0.493665270943746
0,490,80,611.8213428571428,0.5958296754458362
0,500,0,599.5849159999999,0.8251544489834366
0,500,10,599.5849159999999,0.6126642670258802
0,500,20,599.5849159999999,0.3782973928952609
0,500,29.999999999999996,599.5849159999999,0.16266611515374704
0,500,40,599.5849159999999,0.0722217548249382
0,500,50,599.5849159999999,0.16060796113298387
0,500,59.99999999999999,599.5849159999999,0.23758988383373292
0,500,70,599.5849159999999,0.264268318532065
0,500,80,599.5849159999999,0.3773139486393563
0,509.99999999999994,0,587.8283490196079,0.7402536808476697
0,509.99999999999994,10,587.8283490196079,0.7172848771427103
