wl_nm,R
380,0.3625
390,0.59783
400,0.39851
410,0.38653
420,0.60185
430,0.62356
440,0.44448
450,0.84599
460,0.9193
470,0.94039
480,0.93708
490,0.98798
500,0.98824
510,0.9895
520,0.98638
530,0.98493
540,0.97927
550,0.97158
560,0.96828
570,0.93869
580,0.8432
590,0.61301
600,0.48633
610,0.54285
620,0.5546
630,0.47949
640,0.30447
650,0.08174
660,0.027539
670,0.20049
680,0.38727
690,0.50253
700,0.55609
710,0.56441
720,0.53419
730,0.46397
740,0.34974
750,0.19944
760,0.060473
770,0.014987
780,0.092009
